'序号', '图片名称', '录入时间', '识别结果', '目标数目', '用时', '保存路径'
11, 'D:/1/data/yolo/val/images/val/ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg', '2025-05-17 00:10:56', [], 0, '0.96s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg'
12, 'D:/1/data/yolo/val/images/val/ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg', '2025-05-17 00:10:57', [], 0, '0.99s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg'
13, 'D:/1/data/yolo/val/images/val/ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg', '2025-05-17 00:10:59', [], 0, '1.06s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg'
14, 'D:/1/data/yolo/val/images/val\\ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg', '2025-05-17 00:11:06', [], 0, '1.03s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0148_jpg.rf.8a2223e2c32a90ef5f5698f8fc7661bc.jpg'
15, 'D:/1/data/yolo/val/images/val\\ridderzuring_0156_jpg.rf.01f1b29c56c08118e3296acafe3a2122.jpg', '2025-05-17 00:11:10', [], 0, '1.92s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0156_jpg.rf.01f1b29c56c08118e3296acafe3a2122.jpg'
16, 'D:/1/data/yolo/val/images/val\\ridderzuring_0170_jpg.rf.e044698d6751107f605fc846dbd8a7c6.jpg', '2025-05-17 00:11:13', [], 0, '1.57s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0170_jpg.rf.e044698d6751107f605fc846dbd8a7c6.jpg'
17, 'D:/1/data/yolo/val/images/val\\ridderzuring_0172_jpg.rf.c39c04f207bf2a9e43a2da1bef14f2bb.jpg', '2025-05-17 00:11:15', [], 0, '1.55s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\ridderzuring_0172_jpg.rf.c39c04f207bf2a9e43a2da1bef14f2bb.jpg'
18, 'D:/1/code24_yolov5/img/111.mp4', '2025-05-17 00:11:35', [], 0, '0.68s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\111.mp4_1.jpg'
19, 'D:/1/code24_yolov5/img/111.mp4', '2025-05-17 00:11:35', [], 0, '0.68s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\111.mp4_2.jpg'
20, 'D:/1/code24_yolov5/img/111.mp4', '2025-05-17 00:11:36', [], 0, '0.93s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\111.mp4_3.jpg'
21, 'D:/1/code24_yolov5/img/111.mp4', '2025-05-17 00:11:37', [], 0, '0.72s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\111.mp4_4.jpg'
22, 'D:/1/code24_yolov5/img/111.mp4', '2025-05-17 00:11:38', [], 0, '0.74s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\111.mp4_5.jpg'
23, 'D:/1/code24_yolov5/img/111.mp4', '2025-05-17 00:11:39', [], 0, '0.73s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\111.mp4_6.jpg'
24, 'D:/1/code24_yolov5/img/111.mp4', '2025-05-17 00:11:39', [], 0, '0.72s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\111.mp4_7.jpg'
25, 'D:/1/code24_yolov5/img/111.mp4', '2025-05-17 00:11:40', [], 0, '0.81s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\111.mp4_8.jpg'
26, 'D:/1/code24_yolov5/img/111.mp4', '2025-05-17 00:11:41', [], 0, '0.71s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\111.mp4_9.jpg'
27, 'D:/1/code24_yolov5/img/111.mp4', '2025-05-17 00:11:42', [], 0, '0.77s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\111.mp4_10.jpg'
28, 'D:/1/code24_yolov5/img/111.mp4', '2025-05-17 00:11:43', [], 0, '1.15s', 'D:\\1\\code24_yolov5\\output\\2025_05_17_00_01_12\\img_result\\111.mp4_11.jpg'
